City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
karratha,-20.7377,116.8463,95.0,24,97,9.1,AU,1611543131
saint-honore,48.5334,-71.0824,11.17,85,100,11.5,CA,1611543297
eureka,40.8021,-124.1637,41.67,85,97,17.83,US,1611543241
ust-omchug,61.15,149.6333,-27.2,79,76,6.85,RU,1611543297
boaco,12.4722,-85.6586,77.0,83,20,9.22,NI,1611543298
dawlatabad,36.4141,64.9053,31.62,85,0,1.52,AF,1611543298
nogales,31.3086,-110.9422,39.74,87,90,4.61,MX,1611543298
yar-sale,66.8333,70.8333,-31.31,80,96,12.77,RU,1611543298
maldonado,-34.6667,-54.9167,73.13,88,75,9.22,UY,1611543298
hasaki,35.7333,140.8333,51.48,58,40,12.66,JP,1611543189
killybegs,54.6333,-8.45,28.99,95,0,9.8,IE,1611543299
olafsvik,64.8945,-23.7142,28.8,93,72,29.35,IS,1611543299
hovd,48.0056,91.6419,2.53,63,0,7.25,MN,1611543299
mount pleasant,32.7941,-79.8626,50.04,93,90,9.04,US,1611543158
coihaique,-45.5752,-72.0662,53.6,71,75,4.61,CL,1611543300
waiuku,-37.25,174.75,73.42,60,0,18.41,NZ,1611543300
siddapur,14.3333,74.8833,71.35,48,0,5.66,IN,1611543300
leningradskiy,69.3833,178.4167,-17.05,84,0,5.55,RU,1611543300
ribeira grande,38.5167,-28.7,64.06,92,100,25.3,PT,1611543301
conceicao do araguaia,-8.2578,-49.2647,74.46,88,74,4.27,BR,1611543301
cockburn town,21.4612,-71.1419,75.81,76,14,16.49,TC,1611543301
kokstad,-30.5472,29.4241,54.46,93,100,3.53,ZA,1611543249
hakkari,37.5833,44.1667,18.88,65,46,1.61,TR,1611543301
loralai,30.3705,68.598,36.5,57,0,1.39,PK,1611543302
sabang,5.8933,95.3214,81.3,77,94,16.17,ID,1611543009
floro,61.5996,5.0328,32.0,74,0,8.05,NO,1611543304
haian,32.5436,120.45,55.0,80,98,11.79,CN,1611543304
guerrero negro,27.9769,-114.0611,57.51,64,0,12.71,MX,1611543304
vernon,50.2581,-119.2691,25.65,86,100,0.4,CA,1611543305
nanortalik,60.1432,-45.2371,21.63,89,0,10.36,GL,1611543305
orlik,52.5178,99.825,-4.79,85,100,1.41,RU,1611543305
honningsvag,70.9821,25.9704,21.36,94,100,13.56,NO,1611543305
birin,26.8865,88.0718,52.45,67,0,2.53,NP,1611543306
kiruna,67.8557,20.2251,1.4,85,90,4.61,SE,1611543306
guayabetal,4.2147,-73.8172,66.7,73,100,3.67,CO,1611543306
natalinsk,56.4739,57.8698,34.81,96,100,8.43,RU,1611543306
jambi,-1.6,103.6167,80.89,83,100,3.38,ID,1611543306
mnogovershinnyy,53.9353,139.9242,-17.99,84,0,6.33,RU,1611543307
mabaruma,8.2,-59.7833,72.52,97,90,3.15,GY,1611543307
tindwari,25.6167,80.5333,57.47,63,0,3.53,IN,1611543307
karachi,24.9056,67.0822,48.2,25,0,4.61,PK,1611543008
shimoda,34.6667,138.95,48.78,71,20,17.27,JP,1611543307
ormara,25.2088,64.6357,63.75,28,0,6.89,PK,1611543308
urengoy,65.9667,78.3667,-41.67,77,0,5.57,RU,1611543308
huescar,37.811,-2.5412,45.97,82,100,1.99,ES,1611543308
hobyo,5.3505,48.5268,76.59,69,96,19.26,SO,1611543308
byron bay,-28.65,153.6167,82.35,61,42,16.11,AU,1611543309
sarlat-la-caneda,44.889,1.2166,42.01,95,100,3.87,FR,1611543309
kulunda,52.566,78.9385,-26.36,85,92,7.34,RU,1611543309
mocoa,1.1493,-76.6466,70.32,76,100,3.22,CO,1611543309
loandjili,-4.7561,11.8578,77.88,86,93,4.63,CG,1611543310
turukhansk,65.8167,87.9833,-39.35,76,0,2.95,RU,1611543310
chanika,-5.4167,38.0167,67.89,96,100,0.94,TZ,1611543310
dicabisagan,17.0818,122.4157,77.0,88,100,5.73,PH,1611543310
dwarka,22.2394,68.9678,66.31,41,0,14.47,IN,1611543310
menongue,-14.6585,17.691,59.25,65,65,5.41,AO,1611543311
waingapu,-9.6567,120.2641,80.2,76,98,3.87,ID,1611543311
uray,60.1247,64.7758,-13.41,89,100,4.5,RU,1611543311
fonte boa,-2.4959,-66.2662,73.92,96,100,1.19,BR,1611543312
dandong,40.1292,124.3947,40.68,69,100,1.07,CN,1611543312
biryusinsk,55.9634,97.8235,-5.19,90,100,8.88,RU,1611543312
devils lake,48.1128,-98.8651,1.71,85,90,12.66,US,1611543312
amahai,-3.3333,128.9167,86.32,66,70,3.27,ID,1611543134
nagai,38.1036,140.035,36.03,100,75,2.3,JP,1611543313
tautira,-17.7333,-149.15,86.0,62,20,20.71,PF,1611543313
tiksi,71.6872,128.8694,-46.17,78,52,8.75,RU,1611543313
lazaro cardenas,17.9583,-102.2,74.53,80,18,2.15,MX,1611543115
narasannapeta,18.4167,84.05,74.88,73,11,3.36,IN,1611543314
eyl,7.9803,49.8164,72.52,68,51,15.32,SO,1611543314
muisne,0.6,-80.0333,76.69,87,82,5.14,EC,1611543314
noumea,-22.2763,166.4572,84.2,61,90,20.71,NC,1611543314
alberton,46.8168,-64.0654,32.0,86,100,25.32,CA,1611543314
moose factory,51.2585,-80.6094,-2.2,71,90,3.44,CA,1611543315
tromso,69.6496,18.957,17.6,62,75,13.8,NO,1611543315
moron,-34.6534,-58.6198,83.79,53,0,5.01,AR,1611543315
bethal,-26.4579,29.4655,57.49,98,100,10.0,ZA,1611543315
kalmunai,7.4167,81.8167,78.4,69,88,9.22,LK,1611543315
safaga,26.7292,33.9365,55.4,58,0,11.5,EG,1611543316
humboldt,40.6665,-123.9178,40.71,100,75,9.22,US,1611543316
tarsus,36.9188,34.8784,39.2,65,0,1.14,TR,1611543316
muroto,33.2833,134.15,57.2,44,40,6.91,JP,1611543316
marystown,47.1666,-55.1483,28.94,94,62,13.56,CA,1611543317
satuk,41.2263,32.3836,37.33,80,16,8.25,TR,1611543317
mahajanga,-15.7167,46.3167,73.4,94,20,4.61,MG,1611543317
ibra,22.6906,58.5334,53.47,46,0,2.21,OM,1611543317
yulara,-25.2406,130.9889,93.2,38,2,17.27,AU,1611543317
baguanos,20.7517,-76.0269,71.6,88,20,9.22,CU,1611543318
koslan,63.4564,48.8989,34.12,96,100,8.59,RU,1611543318
agirish,61.9247,63.0231,-16.64,88,100,6.33,RU,1611543318
broome,42.2506,-75.833,13.68,79,1,1.81,US,1611543318
derzhavinsk,51.1,66.3167,9.03,94,98,19.8,KZ,1611543318
viedma,-40.8135,-62.9967,87.46,32,4,19.69,AR,1611543319
abnub,27.2696,31.1511,42.8,75,0,6.91,EG,1611543319
agnibilekrou,7.1344,-3.2047,64.18,68,0,1.83,CI,1611543319
atar,20.5169,-13.0499,65.17,20,64,7.67,MR,1611543319
whitehorse,60.7161,-135.0538,13.77,85,90,6.91,CA,1611543112
wilmington,34.2257,-77.9447,42.3,61,90,4.99,US,1611542726
vao,-22.6667,167.4833,75.74,76,85,23.69,NC,1611543320
vryburg,-26.9566,24.7284,70.39,60,100,14.32,ZA,1611543320
krasnoselkup,65.7,82.4667,-43.69,75,0,1.25,RU,1611543320
mocuba,-16.8392,36.9856,73.27,90,100,2.42,MZ,1611543321
carndonagh,55.25,-7.2667,32.85,92,0,6.33,IE,1611543321
lakki marwat,32.6079,70.9114,45.99,45,0,0.98,PK,1611543321
camacha,33.0833,-16.3333,60.8,88,20,6.76,PT,1611543321
hurghada,27.2574,33.8129,55.4,58,0,11.5,EG,1611543322
urumqi,43.801,87.6005,15.8,86,40,4.47,CN,1611543322
minsk,53.9,27.5667,33.42,100,90,13.42,BY,1611543322
port blair,11.6667,92.75,78.1,61,21,10.38,IN,1611543322
mbuji-mayi,-6.15,23.6,67.96,93,100,1.36,CD,1611543322
ati,13.2154,18.3353,69.26,20,27,10.94,TD,1611543323
savinskiy,62.9342,40.1361,33.91,95,100,7.56,RU,1611543323
hornepayne,49.2138,-84.7705,14.34,97,85,4.72,CA,1611543323
encruzilhada,-15.5314,-40.9094,65.21,95,94,3.65,BR,1611543323
sohag,26.557,31.6948,46.4,66,0,4.61,EG,1611543323
rudbar,30.15,62.6,36.27,59,0,0.72,AF,1611543324
bicester,51.9,-1.1536,27.23,92,7,7.18,GB,1611543324
jackson,42.4165,-122.8345,35.53,87,90,4.61,US,1611543080
manaure,11.7751,-72.4445,78.06,73,39,16.2,CO,1611543324
lakselv,70.0513,24.9718,10.4,79,90,11.5,NO,1611543325
jaisalmer,26.9147,70.9181,53.26,37,0,7.74,IN,1611543325
tshikapa,-6.4167,20.8,68.76,93,100,1.92,CD,1611543325
kapit,2.0167,112.9333,82.62,74,95,2.55,MY,1611543145
sabha,27.0377,14.4283,48.63,49,0,4.29,LY,1611543325
esil,51.9556,66.4042,10.45,95,100,13.71,KZ,1611543326
pangnirtung,66.1451,-65.7125,14.18,79,0,3.94,CA,1611543326
brownsville,25.9018,-97.4975,74.89,83,90,21.85,US,1611543326
saint anthony,45.0205,-93.218,17.13,62,1,6.91,US,1611543326
manga,11.6636,-1.0731,67.95,21,14,9.04,BF,1611543326
leshukonskoye,64.8989,45.7622,34.32,98,100,5.79,RU,1611543327
sur,22.5667,59.5289,66.96,54,0,11.18,OM,1611543327
boden,65.8252,21.6886,8.6,92,90,5.75,SE,1611543327
souillac,-20.5167,57.5167,73.4,94,40,5.75,MU,1611543327
meulaboh,4.1363,96.1285,82.81,71,95,3.31,ID,1611543327
sparks,39.5349,-119.7527,33.21,80,90,0.56,US,1611543189
sirajganj,24.45,89.7167,64.71,63,0,2.98,BD,1611543328
horsham,51.064,-0.3272,32.81,93,20,12.66,GB,1611543075
belyy yar,53.6039,91.3903,-7.6,71,100,4.47,RU,1611543328
ouadda,8.0777,22.4007,68.41,27,68,4.92,CF,1611543328
beloha,-25.1667,45.05,76.41,87,56,8.7,MG,1611543329
bonthe,7.5264,-12.505,75.6,84,0,3.09,SL,1611543329
pandan,14.0453,124.1694,82.74,70,8,5.53,PH,1611543329
nuevo laredo,27.4763,-99.5164,76.14,69,40,11.5,MX,1611543079
plettenberg bay,-34.0527,23.3716,62.69,82,0,9.95,ZA,1611543329
korem,12.5058,39.5228,45.07,75,64,2.24,ET,1611543330
laguna,38.421,-121.4238,46.24,87,90,6.91,US,1611543330
nemuro,43.3236,145.575,28.4,80,40,16.11,JP,1611543330
kangaatsiaq,68.3065,-53.4641,8.64,83,0,4.38,GL,1611543330
wahpeton,46.2652,-96.6059,3.6,56,90,4.41,US,1611543330
zamora,-4.0692,-78.9567,66.51,69,100,1.14,EC,1611543331
zhireken,52.8249,117.3076,-4.86,89,100,15.52,RU,1611543331
saint-georges,12.0564,-61.7485,77.14,80,59,14.18,GD,1611543331
koungou,-12.7336,45.2042,77.0,94,0,2.3,YT,1611543331
sanaur,30.3025,76.4553,48.18,58,0,4.47,IN,1611543331
naze,28.3667,129.4833,69.8,73,75,13.8,JP,1611543135
juneau,58.3019,-134.4197,30.81,86,90,3.44,US,1611543332
huarmey,-10.0681,-78.1522,71.64,80,100,3.15,PE,1611543332
urubamba,-13.3047,-72.1158,54.14,66,99,3.44,PE,1611543332
khorixas,-20.3667,14.9667,65.35,82,100,4.52,NA,1611543333
puerres,1.1937,-77.2666,49.51,88,100,4.83,CO,1611543333
batasan,12.7667,120.7833,82.27,69,0,4.81,PH,1611543333
burnie,-41.0667,145.9167,77.0,55,96,8.41,AU,1611543333
salalah,17.0151,54.0924,68.0,42,0,4.61,OM,1611543333
beringovskiy,63.05,179.3167,0.45,93,100,17.36,RU,1611543334
aloleng,16.1307,119.7824,83.91,69,0,2.82,PH,1611543334
san quintin,30.4833,-115.95,54.82,68,6,5.88,MX,1611543334
chuchkovo,54.2693,41.4465,32.07,98,100,14.72,RU,1611543334
peterhead,57.5058,-1.7981,36.79,81,100,14.97,GB,1611543334
smithers,54.7804,-127.1743,19.4,93,75,0.47,CA,1611543254
